
Going to calculate the following Fibonacci numbers (#:trials-number):
#0:1-10   #1:50-5   #2:40-43   #3:50-10   
Participating SHORTs:
#0:1366   #1:1367   #2:1368   #3:1369   
START PRINTING 150 SWITCHES:
===================================================================
     PREV-PID - NEXT-PID - PREV-POL - NEXT-POL -   TIME   -  REASON
  0:     427  |    1349  |    OTHER |    OTHER |  392839  | STARTED WAITING
  1:    1349  |     427  |    OTHER |    OTHER |  392839  | STARTED WAITING
  2:     427  |    1349  |    OTHER |    OTHER |  392840  | STARTED WAITING
  3:    1349  |     427  |    OTHER |    OTHER |  392840  | STARTED WAITING
  4:     427  |    1349  |    OTHER |    OTHER |  392840  | STARTED WAITING
  5:    1349  |     427  |    OTHER |    OTHER |  392840  | STARTED WAITING
  6:     427  |    1349  |    OTHER |    OTHER |  392840  | STARTED WAITING
  7:    1349  |     427  |    OTHER |    OTHER |  392840  | STARTED WAITING
  8:     427  |    1349  |    OTHER |    OTHER |  392840  | STARTED WAITING
  9:    1349  |     427  |    OTHER |    OTHER |  392840  | STARTED WAITING
 10:     427  |    1349  |    OTHER |    OTHER |  392840  | STARTED WAITING
 11:    1349  |     427  |    OTHER |    OTHER |  392840  | STARTED WAITING
 12:     427  |    1349  |    OTHER |    OTHER |  392840  | STARTED WAITING
 13:    1349  |     427  |    OTHER |    OTHER |  392840  | STARTED WAITING
 14:     427  |     988  |    OTHER |    OTHER |  392841  | HIGHER PRIO ARRIVED
 15:     988  |     427  |    OTHER |    OTHER |  392841  | STARTED WAITING
 16:     427  |    1349  |    OTHER |    OTHER |  392841  | STARTED WAITING
 17:    1349  |     427  |    OTHER |    OTHER |  392841  | STARTED WAITING
 18:     427  |    1349  |    OTHER |    OTHER |  392841  | STARTED WAITING
 19:    1349  |     427  |    OTHER |    OTHER |  392841  | STARTED WAITING
 20:    1349  |    1358  |    OTHER |    OTHER |  392841  | STARTED WAITING
 21:    1358  |     427  |    OTHER |    OTHER |  392841  | STARTED WAITING
 22:     427  |    1358  |    OTHER |    OTHER |  392841  | STARTED WAITING
 23:    1358  |     427  |    OTHER |    OTHER |  392841  | STARTED WAITING
 24:     427  |    1358  |    OTHER |    OTHER |  392842  | STARTED WAITING
 25:    1358  |     427  |    OTHER |    OTHER |  392842  | STARTED WAITING
 26:     427  |    1358  |    OTHER |    OTHER |  392842  | STARTED WAITING
 27:    1358  |     427  |    OTHER |    OTHER |  392842  | STARTED WAITING
 28:     427  |    1358  |    OTHER |    OTHER |  392842  | STARTED WAITING
 29:    1358  |     427  |    OTHER |    OTHER |  392842  | STARTED WAITING
 30:     427  |    1358  |    OTHER |    OTHER |  392842  | STARTED WAITING
 31:    1358  |     427  |    OTHER |    OTHER |  392842  | STARTED WAITING
 32:     427  |    1358  |    OTHER |    OTHER |  392842  | STARTED WAITING
 33:    1358  |     427  |    OTHER |    OTHER |  392842  | STARTED WAITING
 34:     427  |    1358  |    OTHER |    OTHER |  392842  | STARTED WAITING
 35:    1358  |     427  |    OTHER |    OTHER |  392843  | STARTED WAITING
 36:     427  |    1358  |    OTHER |    OTHER |  392843  | STARTED WAITING
 37:    1358  |     427  |    OTHER |    OTHER |  392843  | STARTED WAITING
 38:     427  |    1358  |    OTHER |    OTHER |  392843  | STARTED WAITING
 39:    1358  |     427  |    OTHER |    OTHER |  392843  | STARTED WAITING
 40:     427  |    1358  |    OTHER |    OTHER |  392843  | STARTED WAITING
 41:    1358  |     427  |    OTHER |    OTHER |  392843  | STARTED WAITING
 42:     427  |    1358  |    OTHER |    OTHER |  392843  | STARTED WAITING
 43:    1358  |     427  |    OTHER |    OTHER |  392843  | STARTED WAITING
 44:     427  |    1358  |    OTHER |    OTHER |  392844  | STARTED WAITING
 45:    1358  |     427  |    OTHER |    OTHER |  392844  | STARTED WAITING
 46:     427  |    1358  |    OTHER |    OTHER |  392844  | STARTED WAITING
 47:    1358  |     427  |    OTHER |    OTHER |  392844  | STARTED WAITING
 48:     427  |    1358  |    OTHER |    OTHER |  392844  | STARTED WAITING
 49:    1358  |     427  |    OTHER |    OTHER |  392844  | STARTED WAITING
 50:    1358  |    1349  |    OTHER |    OTHER |  392910  | ENDED
 51:    1349  |     427  |    OTHER |    OTHER |  392910  | STARTED WAITING
 52:     427  |    1349  |    OTHER |    OTHER |  392910  | STARTED WAITING
 53:    1349  |     427  |    OTHER |    OTHER |  392910  | STARTED WAITING
 54:     427  |    1349  |    OTHER |    OTHER |  392910  | STARTED WAITING
 55:    1349  |     427  |    OTHER |    OTHER |  392910  | STARTED WAITING
 56:     427  |    1349  |    OTHER |    OTHER |  392910  | STARTED WAITING
 57:    1349  |     427  |    OTHER |    OTHER |  392910  | STARTED WAITING
 58:     427  |    1349  |    OTHER |    OTHER |  392911  | STARTED WAITING
 59:    1349  |     427  |    OTHER |    OTHER |  392911  | STARTED WAITING
 60:     427  |    1349  |    OTHER |    OTHER |  392911  | STARTED WAITING
 61:    1349  |     427  |    OTHER |    OTHER |  392911  | STARTED WAITING
 62:     427  |    1349  |    OTHER |    OTHER |  392911  | STARTED WAITING
 63:    1349  |     427  |    OTHER |    OTHER |  392911  | STARTED WAITING
